condition,step,hypothesis,from,to
s40_off,272,d(item_5),move_to(?target=item_5),"place(?item=item_6,?target=shelf_6)"
s40_off,272,d(item_6),pick_up(?item=item_6),move_to(?target=kitting_table_0)
s40_off,275,d(item_5),"place(?item=item_6,?target=shelf_6)",move_to(?target=shelf_6)
s40_off,329,d(item_6),move_to(?target=kitting_table_0),"place(?item=item_6,?target=kitting_table_0)"
s40_off,331,d(item_5),move_to(?target=shelf_6),move_to(?target=item_5)
s40_on,58,d(item_3),move_to(?target=item_3),pick_up(?item=item_3)
s40_on,60,d(item_3),pick_up(?item=item_3),move_to(?target=kitting_table_0)
s40_on,60,d(item_6),move_to(?target=item_6),"place(?item=item_3,?target=shelf_3)"
s40_on,62,d(item_6),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s40_on,113,d(item_3),move_to(?target=kitting_table_0),"place(?item=item_3,?target=kitting_table_0)"
s40_on,115,d(item_6),move_to(?target=shelf_3),move_to(?target=item_6)
s40_on,153,coffee,move_to(?target=coffee_machine_0),"wait_at(?duration=PT60S,?entity=coffee_machine_0)"
s40_on,270,d(item_6),move_to(?target=item_6),pick_up(?item=item_6)
s40_on,272,d(item_6),pick_up(?item=item_6),move_to(?target=kitting_table_0)
s40_on,329,d(item_6),move_to(?target=kitting_table_0),"place(?item=item_6,?target=kitting_table_0)"
