beta,unknown,condition,crossings,n_cross,n_wrong_cross,wrong_theta_ticks,wrong_theta_task_ticks,correct_theta_ticks,max_conf,reveals,unknown_when_idle,coffee_max_seg2,coffee_theta_ticks_seg2,deliver_max_seg2,item6_3a_end,item6_3b_start_end,item6_3b_falls,max_task_seg3,unknown_end_seg3,ac_max_184_271,ac_most_likely_ticks_184_271,at_272
5.0,0.02,s00_on,6:d(item_3),1,0,66,0,98,0.995,"d(item_3):6(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
5.0,0.05,s40_on,26:d(item_3),1,0,174,0,179,0.993,"d(item_3):26(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
5.0,0.05,s30_on,24:d(item_3),1,0,49,0,86,0.995,"d(item_3):24(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
5.0,0.05,s00_on,7:d(item_3),1,0,66,0,96,0.995,"d(item_3):7(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
5.0,0.1,s40_on,27:d(item_3),1,0,174,0,178,0.993,"d(item_3):27(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
5.0,0.1,s30_on,26:d(item_3),1,0,49,0,84,0.995,"d(item_3):26(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
5.0,0.1,s00_on,7:d(item_3),1,0,66,0,96,0.995,"d(item_3):7(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
5.0,0.2,s40_on,32:d(item_3),1,0,174,0,173,0.993,"d(item_3):32(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
5.0,0.2,s30_on,30:d(item_3),1,0,49,0,80,0.995,"d(item_3):30(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
5.0,0.2,s00_on,9:d(item_3),1,0,66,0,94,0.995,"d(item_3):9(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
5.0,0.35,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.74) coffee:never(max 0.00) d(item_6):never(max 0.00),0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
5.0,0.35,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.74) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
5.0,0.35,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.74) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
5.0,0.5,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.66) coffee:never(max 0.00) d(item_6):never(max 0.00),0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
5.0,0.5,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.66) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
5.0,0.5,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.66) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
10.0,0.01,s40_on,14:d(item_3),1,0,174,0,191,0.993,"d(item_3):14(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
10.0,0.01,s30_on,15:d(item_3),1,0,49,0,94,0.995,"d(item_3):15(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.01,s00_on,3:d(item_3),1,0,66,0,100,0.995,"d(item_3):3(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.02,s40_on,15:d(item_3),1,0,174,0,190,0.993,"d(item_3):15(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
10.0,0.02,s30_on,15:d(item_3),1,0,49,0,94,0.995,"d(item_3):15(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.02,s00_on,4:d(item_3),1,0,66,0,99,0.995,"d(item_3):4(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.05,s40_on,15:d(item_3),1,0,174,0,190,0.993,"d(item_3):15(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
10.0,0.05,s30_on,15:d(item_3),1,0,49,0,94,0.995,"d(item_3):15(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.05,s00_on,4:d(item_3),1,0,66,0,99,0.995,"d(item_3):4(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.1,s40_on,16:d(item_3),1,0,174,0,189,0.993,"d(item_3):16(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
10.0,0.1,s30_on,17:d(item_3),1,0,49,0,92,0.995,"d(item_3):17(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.1,s00_on,4:d(item_3),1,0,66,0,99,0.995,"d(item_3):4(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.2,s40_on,19:d(item_3),1,0,174,0,186,0.993,"d(item_3):19(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
10.0,0.2,s30_on,20:d(item_3),1,0,49,0,91,0.995,"d(item_3):20(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.2,s00_on,5:d(item_3),1,0,66,0,98,0.995,"d(item_3):5(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
10.0,0.35,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.74) coffee:never(max 0.00) d(item_6):never(max 0.00),0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
10.0,0.35,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.74) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
10.0,0.35,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.74) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
10.0,0.5,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.66) coffee:never(max 0.00) d(item_6):never(max 0.00),0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
