condition,variant,ac_max_184_271,ac_most_likely_ticks_184_271,at_272,coffee_max_seg2,coffee_theta_ticks_seg2,correct_theta_ticks,crossings,deliver_max_seg2,item6_3a_end,item6_3b_falls,item6_3b_start_end,max_conf,max_task_seg3,n_cross,n_wrong_cross,reveals,unknown_end_seg3,unknown_when_idle,wrong_theta_task_ticks,wrong_theta_ticks
s20_off,costdif2,,,,,,96,34:d(item_3),,,,,0.995,,1,0,"d(item_3):34(post-grasp,grasp 22) d(item_2):never(max 0.03)",,0.995,0,70
s20_on,costdif2,,,,,,121,9:d(item_3),,,,,0.995,,1,0,"d(item_3):9(pre-grasp,grasp 22) d(item_2):never(max 0.03)",,0.995,0,70
s30_off,costdif2,,,,,,88,52:d(item_3),,,,,0.995,,1,0,"d(item_3):52(post-grasp,grasp 39) d(item_7):never(max 0.21)",,0.994,0,49
s30_on,costdif2,,,,,,83,47:d(item_3),,,,,0.995,,1,0,"d(item_3):47(post-grasp,grasp 39) d(item_7):never(max 0.21)",,0.995,0,49
s40_off,costdif2,0.16,0,unknown 0.942 (item_6 0.001),0.945,64,116,58:d(item_3) 120:coffee 297:ac!,0.001,0.001,False,0.001->0.001,0.987,0.16,3,1,"d(item_3):58(pre-grasp,grasp 60) coffee:120(no-grasp,grasp None) d(item_6):never(max 0.00)",0.987,0.519,82,137
s40_on,costdif2,0.16,0,unknown 0.942 (item_6 0.001),0.945,64,116,58:d(item_3) 120:coffee 297:ac!,0.001,0.001,False,0.001->0.001,0.987,0.16,3,1,"d(item_3):58(pre-grasp,grasp 60) coffee:120(no-grasp,grasp None) d(item_6):never(max 0.00)",0.987,0.519,82,137
s00_off,rawlogistic,,,,,,25,78:unknown!,,,,,0.995,,1,1,d(item_3):never(max 0.68) d(item_2):never(max 0.00),,0.995,0,66
s00_on,rawlogistic,,,,,,51,13:d(item_3) 78:unknown!,,,,,0.995,,2,1,"d(item_3):13(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s20_off,rawlogistic,,,,,,76,54:unknown!,,,,,0.995,,1,1,d(item_3):never(max 0.55) d(item_2):never(max 0.00),,0.995,0,70
s20_on,rawlogistic,,,,,,88,8:d(item_3) 54:unknown!,,,,,0.995,,2,1,"d(item_3):8(pre-grasp,grasp 22) d(item_2):never(max 0.00)",,0.995,0,70
s30_off,rawlogistic,,,,,,43,30:d(item_3) 74:unknown!,,,,,0.995,,2,1,"d(item_3):30(pre-grasp,grasp 39) d(item_7):never(max 0.00)",,0.995,0,49
s30_on,rawlogistic,,,,,,49,24:d(item_3) 74:unknown!,,,,,0.995,,2,1,"d(item_3):24(pre-grasp,grasp 39) d(item_7):never(max 0.00)",,0.995,0,49
s40_off,rawlogistic,0.001,0,unknown 0.993 (item_6 0.001),0.001,0,126,22:d(item_3) 115:unknown!,0.001,0.001,True,0.001->0.001,0.993,0.001,2,1,"d(item_3):22(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.993,0,174
s40_on,rawlogistic,0.001,0,unknown 0.993 (item_6 0.001),0.001,0,126,22:d(item_3) 115:unknown!,0.001,0.001,True,0.001->0.001,0.993,0.001,2,1,"d(item_3):22(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.993,0,174
