condition,step,trigger,hypothesis_matches_actual,candidate,is_current_task,is_winner,cost,T_r,T_h,min_d,s,hold_first_conflict_t,hold_position_within_s,status,delta,delta_over_cost,unchecked_share_at_delta,n_viol_at_delta_minus_1,n_pushed_past_T_h,n_separated,clears_via_tail,clears_via_tail_only,delta_ext_human_held_at_end,max_delta_searched
s20_off,22,theta_crossed,True,item_7,False,False,1687,1686.7,595.9,93.66,25,,False,cleared,0,0.0,0.6467301872120863,0,0,0,False,False,unresolvable,595
s20_off,22,theta_crossed,True,item_7,False,False,1687,1686.7,595.9,93.66,50,,False,cleared,0,0.0,0.6467301872120863,0,0,0,False,False,unresolvable,595
s20_off,22,theta_crossed,True,item_7,False,False,1687,1686.7,595.9,93.66,100,,False,cleared,10,0.005927682276229994,0.6526589810514111,10,0,10,False,False,unresolvable,595
s20_off,24,task_committed,True,item_4,True,True,570,569.9,575.9,5.85,10,,False,cleared,17,0.02982456140350877,0.0194646881399062,1,1,0,True,True,unresolvable,575
s20_off,24,task_committed,True,item_4,True,True,570,569.9,575.9,5.85,25,,False,cleared,32,0.056140350877192984,0.04578286448053104,1,1,0,True,True,unresolvable,575
s20_off,24,task_committed,True,item_4,True,True,570,569.9,575.9,5.85,50,,False,cleared,57,0.1,0.08964649171490578,1,1,0,True,True,unresolvable,575
s20_off,24,task_committed,True,item_4,True,True,570,569.9,575.9,5.85,100,,False,cleared,107,0.18771929824561404,0.17737374618365526,1,1,0,True,True,unresolvable,575
s20_off,24,task_committed,True,item_6,False,False,1100,1100.3,575.9,159.87,10,,False,cleared,0,0.0,0.47662660262986983,0,0,0,False,False,unresolvable,575
s20_off,24,task_committed,True,item_6,False,False,1100,1100.3,575.9,159.87,25,,False,cleared,0,0.0,0.47662660262986983,0,0,0,False,False,unresolvable,575
s20_off,24,task_committed,True,item_6,False,False,1100,1100.3,575.9,159.87,50,,False,cleared,0,0.0,0.47662660262986983,0,0,0,False,False,unresolvable,575
s20_off,24,task_committed,True,item_6,False,False,1100,1100.3,575.9,159.87,100,,False,cleared,0,0.0,0.47662660262986983,0,0,0,False,False,unresolvable,575
s20_off,24,task_committed,True,item_7,False,False,1695,1695.4,575.9,125.63,10,,False,cleared,0,0.0,0.660348190459306,0,0,0,False,False,unresolvable,575
s20_off,24,task_committed,True,item_7,False,False,1695,1695.4,575.9,125.63,25,,False,cleared,0,0.0,0.660348190459306,0,0,0,False,False,unresolvable,575
s20_off,24,task_committed,True,item_7,False,False,1695,1695.4,575.9,125.63,50,,False,cleared,0,0.0,0.660348190459306,0,0,0,False,False,unresolvable,575
s20_off,24,task_committed,True,item_7,False,False,1695,1695.4,575.9,125.63,100,,False,cleared,0,0.0,0.660348190459306,0,0,0,False,False,unresolvable,575
s20_off,89,theta_crossed,True,item_6,True,True,933,933.3,629.7,303.26,10,,False,cleared,0,0.0,0.3253021824695892,0,0,0,False,False,unresolvable,629
s20_off,89,theta_crossed,True,item_6,True,True,933,933.3,629.7,303.26,25,,False,cleared,0,0.0,0.3253021824695892,0,0,0,False,False,unresolvable,629
s20_off,89,theta_crossed,True,item_6,True,True,933,933.3,629.7,303.26,50,,False,cleared,0,0.0,0.3253021824695892,0,0,0,False,False,unresolvable,629
s20_off,89,theta_crossed,True,item_6,True,True,933,933.3,629.7,303.26,100,,False,cleared,0,0.0,0.3253021824695892,0,0,0,False,False,unresolvable,629
s20_off,89,theta_crossed,True,item_7,False,False,1778,1778.4,629.7,493.61,10,,False,cleared,0,0.0,0.6459378732827556,0,0,0,False,False,unresolvable,629
s20_off,89,theta_crossed,True,item_7,False,False,1778,1778.4,629.7,493.61,25,,False,cleared,0,0.0,0.6459378732827556,0,0,0,False,False,unresolvable,629
s20_off,89,theta_crossed,True,item_7,False,False,1778,1778.4,629.7,493.61,50,,False,cleared,0,0.0,0.6459378732827556,0,0,0,False,False,unresolvable,629
s20_off,89,theta_crossed,True,item_7,False,False,1778,1778.4,629.7,493.61,100,,False,cleared,0,0.0,0.6459378732827556,0,0,0,False,False,unresolvable,629
s20_off,96,task_committed,True,item_6,True,True,810,809.9,509.7,299.86,10,,False,cleared,0,0.0,0.3706759707575744,0,0,0,False,False,unresolvable,509
s20_off,96,task_committed,True,item_6,True,True,810,809.9,509.7,299.86,25,,False,cleared,0,0.0,0.3706759707575744,0,0,0,False,False,unresolvable,509
s20_off,96,task_committed,True,item_6,True,True,810,809.9,509.7,299.86,50,,False,cleared,0,0.0,0.3706759707575744,0,0,0,False,False,unresolvable,509
s20_off,96,task_committed,True,item_6,True,True,810,809.9,509.7,299.86,100,,False,cleared,0,0.0,0.3706759707575744,0,0,0,False,False,unresolvable,509
s20_off,96,task_committed,True,item_7,False,False,1844,1844.1,509.7,618.83,10,,False,cleared,0,0.0,0.7236211479801877,0,0,0,False,False,unresolvable,509
s20_off,96,task_committed,True,item_7,False,False,1844,1844.1,509.7,618.83,25,,False,cleared,0,0.0,0.7236211479801877,0,0,0,False,False,unresolvable,509
s20_off,96,task_committed,True,item_7,False,False,1844,1844.1,509.7,618.83,50,,False,cleared,0,0.0,0.7236211479801877,0,0,0,False,False,unresolvable,509
s20_off,96,task_committed,True,item_7,False,False,1844,1844.1,509.7,618.83,100,,False,cleared,0,0.0,0.7236211479801877,0,0,0,False,False,unresolvable,509
s20_on,11,theta_crossed,True,item_4,True,True,812,812.3,828.3,15.29,10,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,828
s20_on,11,theta_crossed,True,item_4,True,True,812,812.3,828.3,15.29,25,,False,cleared,42,0.05172413793103448,0.03202952356160308,1,1,0,True,True,unresolvable,828
s20_on,11,theta_crossed,True,item_4,True,True,812,812.3,828.3,15.29,50,,False,cleared,67,0.08251231527093596,0.06280599731410276,1,1,0,True,True,unresolvable,828
s20_on,11,theta_crossed,True,item_4,True,True,812,812.3,828.3,15.29,100,,False,cleared,117,0.1440886699507389,0.12435894481910213,1,1,0,True,True,unresolvable,828
s20_on,11,theta_crossed,True,item_6,False,False,1189,1188.7,828.3,292.3,10,,False,cleared,0,0.0,0.3032155335404638,0,0,0,False,False,unresolvable,828
s20_on,11,theta_crossed,True,item_6,False,False,1189,1188.7,828.3,292.3,25,,False,cleared,0,0.0,0.3032155335404638,0,0,0,False,False,unresolvable,828
s20_on,11,theta_crossed,True,item_6,False,False,1189,1188.7,828.3,292.3,50,,False,cleared,0,0.0,0.3032155335404638,0,0,0,False,False,unresolvable,828
s20_on,11,theta_crossed,True,item_6,False,False,1189,1188.7,828.3,292.3,100,,False,cleared,0,0.0,0.3032155335404638,0,0,0,False,False,unresolvable,828
s20_on,11,theta_crossed,True,item_7,False,False,1841,1841.3,828.3,41.29,10,,False,cleared,0,0.0,0.5501717409864546,0,0,0,False,False,unresolvable,828
s20_on,11,theta_crossed,True,item_7,False,False,1841,1841.3,828.3,41.29,25,,False,cleared,0,0.0,0.5501717409864546,0,0,0,False,False,unresolvable,828
s20_on,11,theta_crossed,True,item_7,False,False,1841,1841.3,828.3,41.29,50,,False,cleared,144,0.07821835958718087,0.6283752653852639,8,0,8,False,False,unresolvable,828
s20_on,11,theta_crossed,True,item_7,False,False,1841,1841.3,828.3,41.29,100,,False,cleared,223,0.12112982074959261,0.6712785877984995,8,0,8,False,False,unresolvable,828
s20_on,23,task_committed,True,item_4,True,True,570,569.9,595.9,25.85,10,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,595
s20_on,23,task_committed,True,item_4,True,True,570,569.9,595.9,25.85,25,,False,cleared,0,0.0,0.0,0,0,0,False,False,0,595
s20_on,23,task_committed,True,item_4,True,True,570,569.9,595.9,25.85,50,,False,cleared,77,0.13508771929824562,0.08964649171490557,1,1,0,True,True,unresolvable,595
s20_on,23,task_committed,True,item_4,True,True,570,569.9,595.9,25.85,100,,False,cleared,127,0.22280701754385965,0.17737374618365503,1,1,0,True,True,unresolvable,595
s20_on,23,task_committed,True,item_6,False,False,1100,1100.3,595.9,159.36,10,,False,cleared,0,0.0,0.45844932164351115,0,0,0,False,False,unresolvable,595
s20_on,23,task_committed,True,item_6,False,False,1100,1100.3,595.9,159.36,25,,False,cleared,0,0.0,0.45844932164351115,0,0,0,False,False,unresolvable,595
s20_on,23,task_committed,True,item_6,False,False,1100,1100.3,595.9,159.36,50,,False,cleared,0,0.0,0.45844932164351115,0,0,0,False,False,unresolvable,595
s20_on,23,task_committed,True,item_6,False,False,1100,1100.3,595.9,159.36,100,,False,cleared,0,0.0,0.45844932164351115,0,0,0,False,False,unresolvable,595
s20_on,23,task_committed,True,item_7,False,False,1695,1695.4,595.9,111.9,10,,False,cleared,0,0.0,0.6485517437721617,0,0,0,False,False,unresolvable,595
s20_on,23,task_committed,True,item_7,False,False,1695,1695.4,595.9,111.9,25,,False,cleared,0,0.0,0.6485517437721617,0,0,0,False,False,unresolvable,595
s20_on,23,task_committed,True,item_7,False,False,1695,1695.4,595.9,111.9,50,,False,cleared,0,0.0,0.6485517437721617,0,0,0,False,False,unresolvable,595
s20_on,23,task_committed,True,item_7,False,False,1695,1695.4,595.9,111.9,100,,False,cleared,0,0.0,0.6485517437721617,0,0,0,False,False,unresolvable,595
s20_on,82,theta_crossed,True,item_6,True,True,1053,1053.3,754.0,299.26,10,,False,cleared,0,0.0,0.2841638693133706,0,0,0,False,False,unresolvable,753
s20_on,82,theta_crossed,True,item_6,True,True,1053,1053.3,754.0,299.26,25,,False,cleared,0,0.0,0.2841638693133706,0,0,0,False,False,unresolvable,753
s20_on,82,theta_crossed,True,item_6,True,True,1053,1053.3,754.0,299.26,50,,False,cleared,0,0.0,0.2841638693133706,0,0,0,False,False,unresolvable,753
s20_on,82,theta_crossed,True,item_6,True,True,1053,1053.3,754.0,299.26,100,,False,cleared,0,0.0,0.2841638693133706,0,0,0,False,False,unresolvable,753
s20_on,82,theta_crossed,True,item_7,False,False,1733,1733.2,754.0,380.52,10,,False,cleared,0,0.0,0.5649972885916951,0,0,0,False,False,unresolvable,753
s20_on,82,theta_crossed,True,item_7,False,False,1733,1733.2,754.0,380.52,25,,False,cleared,0,0.0,0.5649972885916951,0,0,0,False,False,unresolvable,753
s20_on,82,theta_crossed,True,item_7,False,False,1733,1733.2,754.0,380.52,50,,False,cleared,0,0.0,0.5649972885916951,0,0,0,False,False,unresolvable,753
s20_on,82,theta_crossed,True,item_7,False,False,1733,1733.2,754.0,380.52,100,,False,cleared,0,0.0,0.5649972885916951,0,0,0,False,False,unresolvable,753
s20_on,95,task_committed,True,item_6,True,True,810,809.9,529.7,279.86,10,,False,cleared,0,0.0,0.3459804722414714,0,0,0,False,False,unresolvable,529
s20_on,95,task_committed,True,item_6,True,True,810,809.9,529.7,279.86,25,,False,cleared,0,0.0,0.3459804722414714,0,0,0,False,False,unresolvable,529
