condition,step,trigger,data_class,hypothesis_matches_actual,A_cheaper,B,A_is_winner,A_is_current,cost_A,cost_B,d_cost,min_d_A,min_d_B,d_min_d,disagree_min_d,below10_A,below10_B,d_below10,disagree_below10,below25_A,below25_B,d_below25,disagree_below25,below50_A,below50_B,d_below50,disagree_below50,below100_A,below100_B,d_below100,disagree_below100,delta10_A,delta10_B,d_delta10,disagree_delta10,delta25_A,delta25_B,d_delta25,disagree_delta25,delta50_A,delta50_B,d_delta50,disagree_delta50,delta100_A,delta100_B,d_delta100,disagree_delta100
s20_off,22,theta_crossed,primary,True,item_6,item_7,False,False,1078,1687,609,185.4,93.7,-91.8,False,0,0,0,False,0,0,0,False,0,0,0,False,0,47,47,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,10.0,10.0,False
s20_off,24,task_committed,primary,True,item_4,item_6,True,True,570,1100,530,5.9,159.9,154.0,True,23,0,-23,True,75,0,-75,True,155,0,-155,True,314,0,-314,True,17.0,0.0,-17.0,True,32.0,0.0,-32.0,True,57.0,0.0,-57.0,True,107.0,0.0,-107.0,True
s20_off,24,task_committed,primary,True,item_4,item_7,True,True,570,1695,1125,5.9,125.6,119.8,True,23,0,-23,True,75,0,-75,True,155,0,-155,True,314,0,-314,True,17.0,0.0,-17.0,True,32.0,0.0,-32.0,True,57.0,0.0,-57.0,True,107.0,0.0,-107.0,True
s20_off,24,task_committed,primary,True,item_6,item_7,False,False,1100,1695,595,159.9,125.6,-34.2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s20_off,89,theta_crossed,primary,True,item_6,item_7,True,True,933,1778,845,303.3,493.6,190.4,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s20_off,96,task_committed,primary,True,item_6,item_7,True,True,810,1844,1034,299.9,618.8,319.0,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s20_on,11,theta_crossed,primary,True,item_4,item_6,True,True,812,1189,377,15.3,292.3,277.0,True,0,0,0,False,72,0,-72,True,188,0,-188,True,398,0,-398,True,0.0,0.0,0.0,False,42.0,0.0,-42.0,True,67.0,0.0,-67.0,True,117.0,0.0,-117.0,True
s20_on,11,theta_crossed,primary,True,item_4,item_7,True,True,812,1841,1029,15.3,41.3,26.0,True,0,0,0,False,72,0,-72,True,188,36,-152,True,398,118,-280,True,0.0,0.0,0.0,False,42.0,0.0,-42.0,True,67.0,144.0,77.0,False,117.0,223.0,106.0,False
s20_on,11,theta_crossed,primary,True,item_6,item_7,False,False,1189,1841,652,292.3,41.3,-251.0,False,0,0,0,False,0,0,0,False,0,36,36,False,0,118,118,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,144.0,144.0,False,0.0,223.0,223.0,False
s20_on,23,task_committed,primary,True,item_4,item_6,True,True,570,1100,530,25.9,159.4,133.5,True,0,0,0,False,0,0,0,False,124,0,-124,True,294,0,-294,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,77.0,0.0,-77.0,True,127.0,0.0,-127.0,True
s20_on,23,task_committed,primary,True,item_4,item_7,True,True,570,1695,1125,25.9,111.9,86.0,True,0,0,0,False,0,0,0,False,124,0,-124,True,294,0,-294,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,77.0,0.0,-77.0,True,127.0,0.0,-127.0,True
s20_on,23,task_committed,primary,True,item_6,item_7,False,False,1100,1695,595,159.4,111.9,-47.5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s20_on,82,theta_crossed,primary,True,item_6,item_7,True,True,1053,1733,680,299.3,380.5,81.3,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s20_on,95,task_committed,primary,True,item_6,item_7,True,True,810,1844,1034,279.9,611.1,331.3,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
