ticks: base 200 new 200  eps=0.0005
  t=160 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=161 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=162 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=163 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=164 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=165 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=166 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=167 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=168 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=169 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=170 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=171 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=172 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=173 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=174 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=175 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=176 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=177 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=178 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=179 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=180 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=181 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=182 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=183 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=184 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=185 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=186 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=187 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=188 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=189 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=190 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=191 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=192 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=193 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=194 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=195 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=196 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=197 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=198 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None
  t=199 base=d(item_7)(0.498) new=unknown(0.995)  human: None/None/None

== changed-key episodes (|new-base| > eps) ==
  t=0-53: identical
  t=54-84 human@start deliver_item/place/release:
      d(item_2)    max Δ=-0.491 at t=84 (0.492 → 0.001)
      d(item_6)    max Δ=-0.303 at t=57 (0.304 → 0.001)
      d(item_7)    max Δ=-0.459 at t=77 (0.460 → 0.001)
      unknown      max Δ=+0.962 at t=57 (0.033 → 0.995)
  t=85-108 human@start deliver_item/move_to/step:
      d(item_2)    max Δ=-0.904 at t=108 (0.905 → 0.001)
      d(item_7)    max Δ=-0.452 at t=85 (0.453 → 0.001)
      unknown      max Δ=+0.946 at t=85 (0.049 → 0.995)
  t=109-121 human@start deliver_item/move_to/step:
      d(item_2)    max Δ=-0.904 at t=109 (0.905 → 0.001)
      unknown      max Δ=+0.904 at t=109 (0.091 → 0.995)
  t=122-135 human@start deliver_item/place/release:
      d(item_6)    max Δ=-0.331 at t=122 (0.332 → 0.001)
      d(item_7)    max Δ=-0.331 at t=122 (0.332 → 0.001)
      unknown      max Δ=+0.663 at t=122 (0.332 → 0.995)
  t=136-199 human@start None/None/None:
      d(item_7)    max Δ=-0.497 at t=136 (0.498 → 0.001)
      unknown      max Δ=+0.497 at t=136 (0.498 → 0.995)

== meta lines ==
  -[meta-proj] confidence=0.249 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.995 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.712 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.995 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.759 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_6,?kitting_table=kitting_table_0) cost=40 feasible=True conflicts=531 min_dist=260.1971962751592
  -[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=96 feasible=True conflicts=535 min_dist=633.86201731662
  -[meta] step=96 trigger=theta_crossed winner=deliver_item{'?item': 'item_6', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}"]
  -[meta-proj] confidence=0.498 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.995 theta=0.750 projection=none(unresolved)
  -[meta-proj] confidence=0.498 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.995 theta=0.750 projection=none(unresolved)
