condition,step,hypothesis,expected_action,excess_cm,base,belief
s00_off,49,d(item_2),move_to(?target=shelf_3),239.1,1e-05,0.001
s00_off,49,d(item_3),move_to(?target=kitting_table_0),0.0,0.880499,0.8779
s00_off,49,d(item_4),move_to(?target=shelf_3),239.1,0.000261,0.001
s00_off,49,d(item_6),move_to(?target=shelf_3),239.1,0.187239,0.0313
s00_off,50,d(item_2),move_to(?target=shelf_3),279.1,1e-05,0.001
s00_off,50,d(item_3),move_to(?target=kitting_table_0),0.0,0.88918,0.8865
s00_off,50,d(item_4),move_to(?target=shelf_3),279.1,0.000263,0.001
s00_off,50,d(item_6),move_to(?target=shelf_3),279.1,0.189085,0.0218
s00_off,51,d(item_2),move_to(?target=shelf_3),319.0,1e-05,0.001
s00_off,51,d(item_3),move_to(?target=kitting_table_0),0.0,0.895386,0.8927
s00_off,51,d(item_4),move_to(?target=shelf_3),319.0,0.000265,0.001
s00_off,51,d(item_6),move_to(?target=shelf_3),319.0,0.190405,0.015
s00_off,52,d(item_2),move_to(?target=shelf_3),359.0,1e-05,0.001
s00_off,52,d(item_3),move_to(?target=kitting_table_0),0.0,0.899736,0.8971
s00_off,52,d(item_4),move_to(?target=shelf_3),359.0,0.000267,0.001
s00_off,52,d(item_6),move_to(?target=shelf_3),359.0,0.19133,0.0102
s00_off,53,d(item_2),move_to(?target=shelf_3),399.0,1.1e-05,0.001
s00_off,53,d(item_3),move_to(?target=kitting_table_0),0.0,0.902742,0.9
s00_off,53,d(item_4),move_to(?target=shelf_3),399.0,0.000267,0.001
s00_off,53,d(item_6),move_to(?target=shelf_3),399.0,0.191969,0.007
s00_off,54,d(item_2),move_to(?target=shelf_3),439.0,1.1e-05,0.001
s00_off,54,d(item_3),move_to(?target=kitting_table_0),0.0,0.904799,0.9021
s00_off,54,d(item_4),move_to(?target=shelf_3),439.0,0.000268,0.001
s00_off,54,d(item_6),move_to(?target=shelf_3),439.0,0.192407,0.0047
s00_off,55,d(item_2),move_to(?target=shelf_3),479.0,1.1e-05,0.001
s00_off,55,d(item_3),move_to(?target=kitting_table_0),0.0,0.906197,0.9035
s00_off,55,d(item_4),move_to(?target=shelf_3),479.0,0.000268,0.001
s00_off,55,d(item_6),move_to(?target=shelf_3),479.0,0.192704,0.0032
s00_off,56,d(item_2),move_to(?target=shelf_3),519.0,1.1e-05,0.001
s00_off,56,d(item_3),move_to(?target=kitting_table_0),0.0,0.907144,0.9044
s00_off,56,d(item_4),move_to(?target=shelf_3),519.0,0.000269,0.001
s00_off,56,d(item_6),move_to(?target=shelf_3),519.0,0.192905,0.0021
s00_off,57,d(item_2),move_to(?target=shelf_3),559.0,1.1e-05,0.001
s00_off,57,d(item_3),move_to(?target=kitting_table_0),0.0,0.907782,0.9051
s00_off,57,d(item_4),move_to(?target=shelf_3),559.0,0.000269,0.001
s00_off,57,d(item_6),move_to(?target=shelf_3),559.0,0.193041,0.0014
s00_off,58,d(item_2),move_to(?target=shelf_3),598.9,1.1e-05,0.001
s00_off,58,d(item_3),move_to(?target=kitting_table_0),0.0,0.908212,0.9055
s00_off,58,d(item_4),move_to(?target=shelf_3),598.9,0.000269,0.001
s00_off,58,d(item_6),move_to(?target=shelf_3),598.9,0.193132,0.001
s00_off,59,d(item_2),move_to(?target=shelf_3),638.9,1.1e-05,0.001
s00_off,59,d(item_3),move_to(?target=kitting_table_0),0.0,0.908501,0.9055
s00_off,59,d(item_4),move_to(?target=shelf_3),638.9,0.000269,0.001
s00_off,59,d(item_6),move_to(?target=shelf_3),638.9,0.193194,0.001
s00_off,60,d(item_2),move_to(?target=shelf_3),678.9,1.1e-05,0.001
s00_off,60,d(item_3),move_to(?target=kitting_table_0),0.0,0.908695,0.9055
s00_off,60,d(item_4),move_to(?target=shelf_3),678.9,0.000269,0.001
s00_off,60,d(item_6),move_to(?target=shelf_3),678.9,0.193235,0.001
s00_off,61,d(item_2),move_to(?target=shelf_3),718.9,1.1e-05,0.001
s00_off,61,d(item_3),move_to(?target=kitting_table_0),0.0,0.908826,0.9055
s00_off,61,d(item_4),move_to(?target=shelf_3),718.9,0.000269,0.001
s00_off,61,d(item_6),move_to(?target=shelf_3),718.9,0.193263,0.001
s00_off,62,d(item_2),move_to(?target=shelf_3),758.9,1.1e-05,0.001
s00_off,62,d(item_3),move_to(?target=kitting_table_0),0.0,0.908913,0.9055
s00_off,62,d(item_4),move_to(?target=shelf_3),758.9,0.000269,0.001
s00_off,62,d(item_6),move_to(?target=shelf_3),758.9,0.193282,0.001
s00_off,63,d(item_2),move_to(?target=shelf_3),798.9,1.1e-05,0.001
s00_off,63,d(item_3),move_to(?target=kitting_table_0),0.0,0.908972,0.9055
s00_off,63,d(item_4),move_to(?target=shelf_3),798.9,0.000269,0.001
s00_off,63,d(item_6),move_to(?target=shelf_3),798.9,0.193294,0.001
s00_off,64,d(item_2),move_to(?target=shelf_3),838.9,1.1e-05,0.001
s00_off,64,d(item_3),move_to(?target=kitting_table_0),0.0,0.909011,0.9055
s00_off,64,d(item_4),move_to(?target=shelf_3),838.9,0.000269,0.001
s00_off,64,d(item_6),move_to(?target=shelf_3),838.9,0.193302,0.001
s00_off,65,d(item_2),move_to(?target=shelf_3),878.9,1.1e-05,0.001
s00_off,65,d(item_3),move_to(?target=kitting_table_0),0.0,0.909037,0.9055
s00_off,65,d(item_4),move_to(?target=shelf_3),878.9,0.000269,0.001
s00_off,65,d(item_6),move_to(?target=shelf_3),878.9,0.193308,0.001
s00_off,66,d(item_2),move_to(?target=shelf_3),918.9,1.1e-05,0.001
s00_off,66,d(item_3),move_to(?target=kitting_table_0),0.0,0.909055,0.9055
s00_off,66,d(item_4),move_to(?target=shelf_3),918.9,0.000269,0.001
s00_off,66,d(item_6),move_to(?target=shelf_3),918.9,0.193312,0.001
s00_off,67,d(item_2),move_to(?target=shelf_3),958.9,1.1e-05,0.001
s00_off,67,d(item_3),move_to(?target=kitting_table_0),0.0,0.909067,0.9055
s00_off,67,d(item_4),move_to(?target=shelf_3),958.9,0.000269,0.001
s00_off,67,d(item_6),move_to(?target=shelf_3),958.9,0.193314,0.001
s00_off,68,d(item_2),move_to(?target=shelf_3),998.9,1.1e-05,0.001
s00_off,68,d(item_3),move_to(?target=kitting_table_0),0.0,0.909075,0.9055
s00_off,68,d(item_4),move_to(?target=shelf_3),998.9,0.000269,0.001
s00_off,68,d(item_6),move_to(?target=shelf_3),998.9,0.193316,0.001
s00_off,69,d(item_2),move_to(?target=shelf_3),1038.9,1.1e-05,0.001
s00_off,69,d(item_3),move_to(?target=kitting_table_0),0.0,0.90908,0.9055
s00_off,69,d(item_4),move_to(?target=shelf_3),1038.9,0.000269,0.001
s00_off,69,d(item_6),move_to(?target=shelf_3),1038.9,0.193317,0.001
s00_off,70,d(item_2),move_to(?target=shelf_3),1078.9,1.1e-05,0.001
s00_off,70,d(item_3),move_to(?target=kitting_table_0),0.0,0.909084,0.9055
s00_off,70,d(item_4),move_to(?target=shelf_3),1078.9,0.000269,0.001
s00_off,70,d(item_6),move_to(?target=shelf_3),1078.9,0.193318,0.001
s00_off,71,d(item_2),move_to(?target=shelf_3),1118.9,1.1e-05,0.001
s00_off,71,d(item_3),move_to(?target=kitting_table_0),0.0,0.909086,0.9055
s00_off,71,d(item_4),move_to(?target=shelf_3),1118.9,0.000269,0.001
s00_off,71,d(item_6),move_to(?target=shelf_3),1118.9,0.193318,0.001
s00_off,72,d(item_2),move_to(?target=shelf_3),1158.9,1.1e-05,0.001
s00_off,72,d(item_3),move_to(?target=kitting_table_0),0.0,0.909088,0.9055
s00_off,72,d(item_4),move_to(?target=shelf_3),1158.9,0.000269,0.001
s00_off,72,d(item_6),move_to(?target=shelf_3),1158.9,0.193319,0.001
s00_off,73,d(item_2),move_to(?target=shelf_3),1198.9,1.1e-05,0.001
s00_off,73,d(item_3),move_to(?target=kitting_table_0),0.0,0.909089,0.9055
s00_off,73,d(item_4),move_to(?target=shelf_3),1198.9,0.000269,0.001
s00_off,73,d(item_6),move_to(?target=shelf_3),1198.9,0.193319,0.001
s00_off,74,d(item_2),move_to(?target=shelf_3),1238.9,1.1e-05,0.001
s00_off,74,d(item_3),move_to(?target=kitting_table_0),0.0,0.909089,0.9055
s00_off,74,d(item_4),move_to(?target=shelf_3),1238.9,0.000269,0.001
s00_off,74,d(item_6),move_to(?target=shelf_3),1238.9,0.193319,0.001
s00_off,75,d(item_2),move_to(?target=shelf_3),1278.9,1.1e-05,0.001
s00_off,75,d(item_3),move_to(?target=kitting_table_0),0.0,0.90909,0.9055
s00_off,75,d(item_4),move_to(?target=shelf_3),1278.9,0.000269,0.001
s00_off,75,d(item_6),move_to(?target=shelf_3),1278.9,0.193319,0.001
s00_off,76,d(item_2),move_to(?target=shelf_3),1318.9,1.1e-05,0.001
s00_off,76,d(item_3),"place(?item=item_3,?target=kitting_table_0)",,0.90909,0.9055
s00_off,76,d(item_4),move_to(?target=shelf_3),1318.9,0.000269,0.001
s00_off,76,d(item_6),move_to(?target=shelf_3),1318.9,0.193319,0.001
s00_off,77,d(item_2),move_to(?target=shelf_3),1318.9,1.1e-05,0.001
s00_off,77,d(item_3),"place(?item=item_3,?target=kitting_table_0)",,0.90909,0.9055
s00_off,77,d(item_4),move_to(?target=shelf_3),1318.9,0.000269,0.001
s00_off,77,d(item_6),move_to(?target=shelf_3),1318.9,0.193319,0.001
s00_off,78,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,78,d(item_4),move_to(?target=item_4),0.0,0.0,0.001
s00_off,78,d(item_6),move_to(?target=item_6),0.0,8e-06,0.001
s00_off,79,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,79,d(item_4),move_to(?target=item_4),0.0,0.0,0.001
s00_off,79,d(item_6),move_to(?target=item_6),0.0,8e-06,0.001
s00_off,80,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,80,d(item_4),move_to(?target=item_4),0.0,0.0,0.001
s00_off,80,d(item_6),move_to(?target=item_6),0.0,8e-06,0.001
s00_off,81,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,81,d(item_4),move_to(?target=item_4),0.9,0.0,0.001
s00_off,81,d(item_6),move_to(?target=item_6),19.7,8e-06,0.001
s00_off,82,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,82,d(item_4),move_to(?target=item_4),1.9,0.0,0.001
