condition,step,hypothesis,expected_action,excess_cm,base,belief,walked_cm
s00_off,24,d(item_6),move_to(?target=item_6),45.9,0.051518,0.3989,500.0
s00_off,24,d(item_7),move_to(?target=item_7),433.7,0.051518,0.0133,500.0
s00_off,25,d(item_2),move_to(?target=item_2),678.3,0.052664,0.0012,520.0
s00_off,25,d(item_3),move_to(?target=item_3),-0.0,0.052664,0.5266,520.0
s00_off,25,d(item_4),move_to(?target=item_4),423.3,0.052664,0.0151,520.0
s00_off,25,d(item_6),move_to(?target=item_6),50.5,0.052664,0.3964,520.0
s00_off,25,d(item_7),move_to(?target=item_7),487.4,0.052664,0.008,520.0
s00_off,26,d(item_2),move_to(?target=item_2),714.8,0.053735,0.001,540.0
s00_off,26,d(item_3),move_to(?target=item_3),0.0,0.053735,0.5373,540.0
s00_off,26,d(item_4),move_to(?target=item_4),452.3,0.053735,0.0115,540.0
s00_off,26,d(item_6),move_to(?target=item_6),55.5,0.053735,0.3918,540.0
s00_off,26,d(item_7),move_to(?target=item_7),543.6,0.053735,0.0047,540.0
s00_off,27,d(item_2),move_to(?target=item_2),751.5,0.054783,0.001,560.0
s00_off,27,d(item_3),move_to(?target=item_3),-0.0,0.054783,0.5476,560.0
s00_off,27,d(item_4),move_to(?target=item_4),482.1,0.054783,0.0088,560.0
s00_off,27,d(item_6),move_to(?target=item_6),61.1,0.054783,0.3852,560.0
s00_off,27,d(item_7),move_to(?target=item_7),601.6,0.054783,0.0027,560.0
s00_off,28,d(item_2),move_to(?target=item_2),788.4,0.055854,0.001,580.0
s00_off,28,d(item_3),move_to(?target=item_3),0.0,0.055854,0.5582,580.0
s00_off,28,d(item_4),move_to(?target=item_4),512.6,0.055854,0.0066,580.0
s00_off,28,d(item_6),move_to(?target=item_6),67.4,0.055854,0.3769,580.0
s00_off,28,d(item_7),move_to(?target=item_7),661.2,0.055854,0.0015,580.0
s00_off,29,d(item_2),move_to(?target=item_2),825.5,0.056988,0.001,600.0
s00_off,29,d(item_3),move_to(?target=item_3),0.0,0.056988,0.5694,600.0
s00_off,29,d(item_4),move_to(?target=item_4),543.7,0.056988,0.0049,600.0
s00_off,29,d(item_6),move_to(?target=item_6),74.4,0.056988,0.3667,600.0
s00_off,29,d(item_7),move_to(?target=item_7),722.0,0.056988,0.001,600.0
s00_off,30,d(item_2),move_to(?target=item_2),862.9,0.058211,0.001,620.0
s00_off,30,d(item_3),move_to(?target=item_3),0.0,0.058211,0.5814,620.0
s00_off,30,d(item_4),move_to(?target=item_4),575.5,0.058211,0.0037,620.0
s00_off,30,d(item_6),move_to(?target=item_6),82.3,0.058211,0.3548,620.0
s00_off,30,d(item_7),move_to(?target=item_7),757.4,0.058211,0.001,620.0
s00_off,31,d(item_2),move_to(?target=item_2),900.4,0.05959,0.001,640.0
s00_off,31,d(item_3),move_to(?target=item_3),0.0,0.05959,0.5948,640.0
s00_off,31,d(item_4),move_to(?target=item_4),607.8,0.05959,0.0027,640.0
s00_off,31,d(item_6),move_to(?target=item_6),91.2,0.05959,0.341,640.0
s00_off,32,d(item_2),move_to(?target=item_2),938.1,0.061091,0.001,660.0
s00_off,32,d(item_3),move_to(?target=item_3),0.0,0.061091,0.6098,660.0
s00_off,32,d(item_4),move_to(?target=item_4),640.6,0.061091,0.002,660.0
s00_off,32,d(item_6),move_to(?target=item_6),101.1,0.061091,0.3253,660.0
s00_off,33,d(item_2),move_to(?target=item_2),975.9,0.062767,0.001,680.0
s00_off,33,d(item_3),move_to(?target=item_3),0.0,0.062767,0.6265,680.0
s00_off,33,d(item_4),move_to(?target=item_4),673.9,0.062767,0.0015,680.0
s00_off,33,d(item_6),move_to(?target=item_6),112.4,0.062767,0.3074,680.0
s00_off,34,d(item_2),move_to(?target=item_2),1013.8,0.064629,0.001,700.0
s00_off,34,d(item_3),move_to(?target=item_3),0.0,0.064629,0.645,700.0
s00_off,34,d(item_4),move_to(?target=item_4),707.6,0.064629,0.0011,700.0
s00_off,34,d(item_6),move_to(?target=item_6),125.0,0.064629,0.2874,700.0
s00_off,35,d(item_2),move_to(?target=item_2),1051.9,0.066677,0.001,720.0
s00_off,35,d(item_3),move_to(?target=item_3),0.0,0.066677,0.6653,720.0
s00_off,35,d(item_4),move_to(?target=item_4),741.8,0.066677,0.001,720.0
s00_off,35,d(item_6),move_to(?target=item_6),139.1,0.066677,0.2651,720.0
s00_off,36,d(item_2),move_to(?target=item_2),1090.1,0.068899,0.001,740.0
s00_off,36,d(item_3),move_to(?target=item_3),0.0,0.068899,0.6873,740.0
s00_off,36,d(item_4),move_to(?target=item_4),776.3,0.068899,0.001,740.0
s00_off,36,d(item_6),move_to(?target=item_6),154.9,0.068899,0.2409,740.0
s00_off,37,d(item_2),move_to(?target=item_2),1128.4,0.07126,0.001,760.0
s00_off,37,d(item_3),move_to(?target=item_3),0.0,0.07126,0.7108,760.0
s00_off,37,d(item_4),move_to(?target=item_4),811.1,0.07126,0.001,760.0
s00_off,37,d(item_6),move_to(?target=item_6),172.4,0.07126,0.2151,760.0
s00_off,38,d(item_2),move_to(?target=item_2),1166.8,0.073706,0.001,780.0
s00_off,38,d(item_3),move_to(?target=item_3),0.0,0.073706,0.7351,780.0
s00_off,38,d(item_4),move_to(?target=item_4),846.3,0.073706,0.001,780.0
s00_off,38,d(item_6),move_to(?target=item_6),191.7,0.073706,0.1884,780.0
s00_off,39,d(item_2),move_to(?target=item_2),1205.3,0.009697,0.001,800.0
s00_off,39,d(item_3),pick_up(?item=item_3),,0.096965,0.9668,0.0
s00_off,39,d(item_4),move_to(?target=item_4),881.7,0.009697,0.001,800.0
s00_off,39,d(item_6),move_to(?target=item_6),212.9,0.009697,0.0206,800.0
s00_off,40,d(item_2),move_to(?target=item_2),1205.3,0.009697,0.001,800.0
s00_off,40,d(item_3),pick_up(?item=item_3),,0.096965,0.9668,0.0
s00_off,40,d(item_4),move_to(?target=item_4),881.7,0.009697,0.001,800.0
s00_off,40,d(item_6),move_to(?target=item_6),212.9,0.009697,0.0206,800.0
s00_off,41,d(item_2),"place(?item=item_3,?target=shelf_3)",,1e-06,0.001,0.0
s00_off,41,d(item_3),move_to(?target=kitting_table_0),0.0,0.817689,0.8154,0.0
s00_off,41,d(item_4),"place(?item=item_3,?target=shelf_3)",,2.4e-05,0.001,0.0
s00_off,41,d(item_6),"place(?item=item_3,?target=shelf_3)",,0.017388,0.1734,0.0
