ticks: base 379 new 379  eps=0.0005
  t=297 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=298 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=299 base=d(item_6)(0.654) new=unknown(0.993)  human: deliver_item/move_to/step
  t=300 base=d(item_6)(0.655) new=unknown(0.993)  human: deliver_item/move_to/step
  t=301 base=d(item_6)(0.655) new=unknown(0.993)  human: deliver_item/move_to/step
  t=302 base=d(item_6)(0.656) new=unknown(0.993)  human: deliver_item/move_to/step
  t=303 base=d(item_6)(0.656) new=unknown(0.993)  human: deliver_item/move_to/step
  t=304 base=d(item_6)(0.657) new=unknown(0.993)  human: deliver_item/move_to/step
  t=305 base=d(item_6)(0.658) new=unknown(0.993)  human: deliver_item/move_to/step
  t=306 base=d(item_6)(0.658) new=unknown(0.993)  human: deliver_item/move_to/step
  t=307 base=d(item_6)(0.659) new=unknown(0.993)  human: deliver_item/move_to/step
  t=308 base=d(item_6)(0.660) new=unknown(0.993)  human: deliver_item/move_to/step
  t=309 base=d(item_6)(0.661) new=unknown(0.993)  human: deliver_item/move_to/step
  t=310 base=d(item_6)(0.662) new=unknown(0.993)  human: deliver_item/move_to/step
  t=311 base=d(item_6)(0.663) new=unknown(0.993)  human: deliver_item/move_to/step
  t=312 base=d(item_6)(0.664) new=unknown(0.993)  human: deliver_item/move_to/step
  t=313 base=d(item_6)(0.666) new=unknown(0.993)  human: deliver_item/move_to/step
  t=314 base=d(item_6)(0.668) new=unknown(0.993)  human: deliver_item/move_to/step
  t=315 base=d(item_6)(0.670) new=unknown(0.993)  human: deliver_item/move_to/step
  t=316 base=d(item_6)(0.672) new=unknown(0.993)  human: deliver_item/move_to/step
  t=317 base=d(item_6)(0.675) new=unknown(0.993)  human: deliver_item/move_to/step
  t=318 base=d(item_6)(0.679) new=unknown(0.993)  human: deliver_item/move_to/step
  t=319 base=d(item_6)(0.683) new=unknown(0.993)  human: deliver_item/move_to/step
  t=320 base=d(item_6)(0.688) new=unknown(0.993)  human: deliver_item/move_to/step
  t=321 base=d(item_6)(0.695) new=unknown(0.993)  human: deliver_item/move_to/step
  t=322 base=d(item_6)(0.703) new=unknown(0.993)  human: deliver_item/move_to/step
  t=323 base=d(item_6)(0.714) new=unknown(0.993)  human: deliver_item/move_to/step
  t=324 base=d(item_6)(0.728) new=unknown(0.993)  human: deliver_item/move_to/step
  t=325 base=d(item_6)(0.746) new=unknown(0.993)  human: deliver_item/move_to/step
  t=326 base=d(item_6)(0.767) new=unknown(0.993)  human: deliver_item/move_to/step
  t=327 base=d(item_6)(0.792) new=unknown(0.993)  human: deliver_item/move_to/step
  t=328 base=d(item_6)(0.816) new=unknown(0.993)  human: deliver_item/move_to/step
  t=329 base=d(item_6)(0.838) new=unknown(0.993)  human: deliver_item/move_to/step
