ticks: base 379 new 383  eps=0.0005
  t=339 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=340 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=341 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=342 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=343 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=344 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=345 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=346 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=347 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=348 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=349 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=350 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=351 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=352 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=353 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=354 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=355 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=356 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=357 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=358 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=359 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=360 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=361 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=362 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=363 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=364 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=365 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=366 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=367 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=368 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=369 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=370 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=371 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=372 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=373 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=374 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=375 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=376 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=377 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=378 base=unknown(0.993) new=ac(0.904)  human: None/None/None

== changed-key episodes (|new-base| > eps) ==
  t=0-114: identical
  t=115-137 human@start deliver_item/place/release:
      ac           max Δ=+0.163 at t=115 (0.001 → 0.164)
      coffee       max Δ=+0.637 at t=137 (0.001 → 0.638)
      d(item_4)    max Δ=+0.163 at t=115 (0.001 → 0.164)
      d(item_5)    max Δ=+0.229 at t=130 (0.001 → 0.230)
      d(item_6)    max Δ=+0.181 at t=125 (0.001 → 0.182)
      d(item_7)    max Δ=+0.163 at t=115 (0.001 → 0.164)
      unknown      max Δ=-0.977 at t=115 (0.993 → 0.016)
  t=138-139 human@start coffee_break/move_to/step:
      ac           max Δ=+0.001 at t=138 (0.001 → 0.002)
      coffee       max Δ=+0.683 at t=139 (0.001 → 0.684)
      d(item_5)    max Δ=+0.169 at t=138 (0.001 → 0.170)
      d(item_6)    max Δ=+0.088 at t=138 (0.001 → 0.089)
      d(item_7)    max Δ=+0.008 at t=138 (0.001 → 0.009)
      unknown      max Δ=-0.927 at t=138 (0.993 → 0.066)
  t=140-144 human@start coffee_break/move_to/step:
      coffee       max Δ=+0.778 at t=144 (0.001 → 0.779)
      d(item_5)    max Δ=+0.146 at t=140 (0.001 → 0.147)
      d(item_6)    max Δ=+0.068 at t=140 (0.001 → 0.069)
      d(item_7)    max Δ=+0.004 at t=140 (0.001 → 0.005)
      unknown      max Δ=-0.922 at t=140 (0.993 → 0.071)
  t=145-183 human@start coffee_break/move_to/step:
      ac           max Δ=+0.195 at t=145 (0.001 → 0.196)
      coffee       max Δ=+0.469 at t=153 (0.001 → 0.470)
      d(item_5)    max Δ=+0.219 at t=150 (0.001 → 0.220)
      d(item_6)    max Δ=+0.195 at t=145 (0.001 → 0.196)
      d(item_7)    max Δ=+0.195 at t=145 (0.001 → 0.196)
      unknown      max Δ=-0.973 at t=145 (0.993 → 0.020)
  t=184-225 human@start coffee_break/wait_at/stand:
      ac           max Δ=+0.242 at t=184 (0.001 → 0.243)
      d(item_5)    max Δ=+0.461 at t=216 (0.001 → 0.462)
      d(item_6)    max Δ=+0.400 at t=211 (0.001 → 0.401)
      d(item_7)    max Δ=+0.243 at t=188 (0.001 → 0.244)
      unknown      max Δ=-0.969 at t=184 (0.993 → 0.024)
  t=226-230 human@start ac_activation/move_to/step:
      ac           max Δ=+0.001 at t=226 (0.001 → 0.002)
      d(item_5)    max Δ=+0.174 at t=226 (0.001 → 0.175)
      d(item_6)    max Δ=+0.067 at t=226 (0.001 → 0.068)
      unknown      max Δ=-0.242 at t=226 (0.993 → 0.751)
  t=231-242 human@start deliver_item/move_to/step:
      d(item_5)    max Δ=+0.173 at t=231 (0.001 → 0.174)
      d(item_6)    max Δ=+0.069 at t=238 (0.001 → 0.070)
      unknown      max Δ=-0.241 at t=231 (0.993 → 0.752)
  t=243-286 human@start deliver_item/move_to/step:
      ac           max Δ=+0.320 at t=243 (0.001 → 0.321)
      d(item_5)    max Δ=+0.352 at t=253 (0.001 → 0.353)
      d(item_6)    max Δ=+0.890 at t=286 (0.001 → 0.891)
      unknown      max Δ=-0.961 at t=243 (0.993 → 0.032)
  t=287-316 human@start deliver_item/move_to/step:
      ac           max Δ=+0.013 at t=287 (0.001 → 0.014)
      d(item_6)    max Δ=+0.902 at t=315 (0.001 → 0.903)
      unknown      max Δ=-0.904 at t=287 (0.993 → 0.089)
  t=317-330 human@start deliver_item/move_to/step:
      d(item_6)    max Δ=+0.903 at t=318 (0.001 → 0.904)
      unknown      max Δ=-0.903 at t=317 (0.993 → 0.090)
  t=331-375 human@start deliver_item/place/release:
      ac           max Δ=+0.473 at t=331 (0.001 → 0.474)
      d(item_5)    max Δ=+0.473 at t=331 (0.001 → 0.474)
      unknown      max Δ=-0.946 at t=331 (0.993 → 0.047)
  t=376-378 human@start None/None/None:
      ac           max Δ=+0.903 at t=376 (0.001 → 0.904)
      unknown      max Δ=-0.903 at t=376 (0.993 → 0.090)

== meta lines ==
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.762 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=2 feasible=True conflicts=34 min_dist=531.77195230009
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=112 feasible=True conflicts=238 min_dist=531.77195230009
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=142 feasible=True conflicts=238 min_dist=531.77195230009
  +[meta] step=143 trigger=theta_crossed winner=deliver_item{'?item': 'item_4', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}", "deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.242 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.287 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.751 theta=0.750 projection=none(unresolved)
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=17 feasible=True conflicts=0 min_dist=None
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=143 feasible=True conflicts=0 min_dist=None
  +[meta] step=226 trigger=theta_crossed winner=deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.337 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=65 feasible=True conflicts=0 min_dist=None
  +[meta-proj] confidence=0.772 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=109 feasible=True conflicts=1253 min_dist=131.3158716105293
  +[meta] step=268 trigger=theta_crossed winner=deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'} queue=[]
  +[meta-proj] confidence=0.901 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=65 feasible=True conflicts=408 min_dist=882.2022530315627
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta] step=378 all tasks complete
  +[meta-proj] confidence=0.904 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=3 feasible=True conflicts=73 min_dist=4.5568686343452445
  +[meta] step=376 trigger=theta_crossed winner=deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'} queue=[]
  +[meta-proj] confidence=0.904 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=2 feasible=True conflicts=51 min_dist=4.5568686343452445
  +[meta] step=378 trigger=task_committed winner=deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'} queue=[]
  +[meta-proj] confidence=0.904 theta=0.750 projection=built
  +[meta] step=382 all tasks complete
