step,segment,human_task,human_action,human_action_index,human_micro,human_x,human_y,human_holding,robot_task,robot_holding,ir_called,most_likely,confidence,p_item_3,p_item_6,p_item_4,p_item_7,p_item_5,p_ac_activation,p_coffee_break,p_unknown
41,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-629.3,133.2,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
42,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-646.7,123.3,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
43,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-664.1,113.4,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
44,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-681.4,103.5,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
45,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-698.8,93.6,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
46,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-716.1,83.6,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
47,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-733.5,73.7,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
48,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-750.9,63.8,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
49,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-768.2,53.9,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
50,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-785.6,43.9,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
51,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-803.0,34.0,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
52,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-820.3,24.1,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
53,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-837.7,14.2,,deliver_item,,True,item_3,0.4789,0.4789,0.1589,0.001,0.001,0.001,0.1197,0.1197,0.1197
