ticks: base 379 new 379  eps=0.0005
  t=200 base=d(item_3)(0.979) new=ac(0.614)  human: ac_activation/move_to/step
  t=201 base=d(item_3)(0.979) new=ac(0.618)  human: ac_activation/move_to/step
  t=202 base=d(item_3)(0.980) new=ac(0.622)  human: ac_activation/move_to/step
  t=203 base=d(item_3)(0.980) new=ac(0.625)  human: ac_activation/move_to/step
  t=204 base=d(item_3)(0.981) new=ac(0.629)  human: ac_activation/move_to/step
  t=205 base=d(item_3)(0.981) new=ac(0.633)  human: ac_activation/move_to/step
  t=206 base=d(item_3)(0.981) new=ac(0.633)  human: ac_activation/move_to/None
  t=207 base=d(item_3)(0.981) new=ac(0.633)  human: ac_activation/wait_at/stand
  t=208 base=d(item_3)(0.981) new=ac(0.633)  human: ac_activation/wait_at/None
  t=209 base=d(item_3)(0.981) new=ac(0.633)  human: None/None/None
  t=210 base=d(item_3)(0.980) new=ac(0.631)  human: ac_activation/move_to/step
  t=211 base=d(item_3)(0.979) new=ac(0.629)  human: ac_activation/move_to/step
  t=212 base=d(item_3)(0.978) new=ac(0.627)  human: ac_activation/move_to/step
  t=213 base=d(item_3)(0.977) new=ac(0.625)  human: ac_activation/move_to/step
  t=214 base=d(item_3)(0.975) new=ac(0.623)  human: ac_activation/move_to/step
  t=215 base=d(item_3)(0.974) new=ac(0.622)  human: ac_activation/move_to/step
  t=216 base=d(item_3)(0.972) new=ac(0.620)  human: ac_activation/move_to/step
  t=217 base=d(item_3)(0.970) new=ac(0.618)  human: ac_activation/move_to/step
  t=218 base=d(item_3)(0.968) new=ac(0.617)  human: ac_activation/move_to/step
  t=219 base=d(item_3)(0.966) new=ac(0.615)  human: ac_activation/move_to/step
  t=220 base=d(item_3)(0.964) new=ac(0.614)  human: ac_activation/move_to/step
  t=221 base=d(item_3)(0.962) new=ac(0.612)  human: ac_activation/move_to/step
  t=222 base=d(item_3)(0.960) new=ac(0.611)  human: ac_activation/move_to/step
  t=223 base=d(item_3)(0.957) new=ac(0.609)  human: ac_activation/move_to/step
  t=224 base=d(item_3)(0.955) new=ac(0.608)  human: ac_activation/move_to/step
  t=225 base=d(item_3)(0.953) new=ac(0.607)  human: ac_activation/move_to/step
  t=226 base=d(item_3)(0.951) new=ac(0.606)  human: ac_activation/move_to/step
  t=227 base=d(item_3)(0.951) new=ac(0.606)  human: ac_activation/move_to/None
  t=228 base=d(item_3)(0.951) new=ac(0.606)  human: ac_activation/wait_at/stand
  t=229 base=d(item_3)(0.951) new=ac(0.606)  human: ac_activation/wait_at/None
  t=230 base=d(item_3)(0.951) new=ac(0.606)  human: None/None/None
  t=231 base=d(item_3)(0.954) new=ac(0.608)  human: deliver_item/move_to/step
  t=232 base=d(item_3)(0.956) new=ac(0.611)  human: deliver_item/move_to/step
  t=233 base=d(item_3)(0.959) new=ac(0.614)  human: deliver_item/move_to/step
  t=234 base=d(item_3)(0.961) new=ac(0.617)  human: deliver_item/move_to/step
  t=235 base=d(item_3)(0.963) new=ac(0.620)  human: deliver_item/move_to/step
  t=236 base=d(item_3)(0.965) new=ac(0.623)  human: deliver_item/move_to/step
  t=237 base=d(item_3)(0.967) new=ac(0.625)  human: deliver_item/move_to/step
  t=238 base=d(item_3)(0.969) new=ac(0.628)  human: deliver_item/move_to/step
  t=239 base=d(item_3)(0.971) new=ac(0.631)  human: deliver_item/move_to/step
  t=240 base=d(item_3)(0.972) new=ac(0.633)  human: deliver_item/move_to/step
  t=241 base=d(item_3)(0.973) new=ac(0.636)  human: deliver_item/move_to/step
  t=242 base=d(item_3)(0.974) new=ac(0.639)  human: deliver_item/move_to/step
  t=243 base=d(item_3)(0.975) new=ac(0.641)  human: deliver_item/move_to/step
  t=244 base=d(item_3)(0.976) new=ac(0.644)  human: deliver_item/move_to/step
  t=245 base=d(item_3)(0.977) new=ac(0.646)  human: deliver_item/move_to/step
  t=246 base=d(item_3)(0.978) new=ac(0.649)  human: deliver_item/move_to/step
  t=247 base=d(item_3)(0.979) new=ac(0.651)  human: deliver_item/move_to/step
  t=248 base=d(item_3)(0.979) new=ac(0.654)  human: deliver_item/move_to/step
  t=249 base=d(item_3)(0.980) new=ac(0.656)  human: deliver_item/move_to/step
  t=250 base=d(item_3)(0.981) new=ac(0.658)  human: deliver_item/move_to/step
  t=251 base=d(item_3)(0.981) new=ac(0.660)  human: deliver_item/move_to/step
  t=252 base=d(item_3)(0.982) new=ac(0.663)  human: deliver_item/move_to/step
  t=253 base=d(item_3)(0.982) new=ac(0.665)  human: deliver_item/move_to/step
  t=254 base=d(item_3)(0.982) new=ac(0.667)  human: deliver_item/move_to/step
  t=255 base=d(item_3)(0.983) new=ac(0.669)  human: deliver_item/move_to/step
  t=256 base=d(item_3)(0.983) new=ac(0.671)  human: deliver_item/move_to/step
  t=257 base=d(item_3)(0.984) new=ac(0.673)  human: deliver_item/move_to/step
  t=258 base=d(item_3)(0.984) new=ac(0.675)  human: deliver_item/move_to/step
  t=259 base=d(item_3)(0.984) new=ac(0.676)  human: deliver_item/move_to/step
  t=260 base=d(item_3)(0.984) new=ac(0.678)  human: deliver_item/move_to/step
  t=261 base=d(item_3)(0.985) new=ac(0.680)  human: deliver_item/move_to/step
  t=262 base=d(item_3)(0.985) new=ac(0.682)  human: deliver_item/move_to/step
  t=263 base=d(item_3)(0.985) new=ac(0.683)  human: deliver_item/move_to/step
  t=264 base=d(item_3)(0.985) new=ac(0.685)  human: deliver_item/move_to/step
  t=265 base=d(item_3)(0.986) new=ac(0.686)  human: deliver_item/move_to/step
  t=266 base=d(item_3)(0.986) new=ac(0.688)  human: deliver_item/move_to/step
  t=267 base=d(item_3)(0.986) new=ac(0.689)  human: deliver_item/move_to/step
  t=268 base=d(item_3)(0.986) new=ac(0.690)  human: deliver_item/move_to/step
  t=269 base=d(item_3)(0.986) new=ac(0.692)  human: deliver_item/move_to/step
  t=270 base=d(item_3)(0.986) new=ac(0.693)  human: deliver_item/move_to/step
  t=271 base=d(item_3)(0.986) new=ac(0.693)  human: deliver_item/move_to/None
  t=272 base=d(item_3)(0.984) new=ac(0.525)  human: deliver_item/pick_up/grasp
  t=273 base=d(item_3)(0.984) new=ac(0.525)  human: deliver_item/pick_up/None
  t=274 base=d(item_3)(0.972) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=275 base=d(item_3)(0.972) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=276 base=d(item_3)(0.854) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=277 base=d(item_3)(0.854) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=278 base=d(item_3)(0.855) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=279 base=d(item_3)(0.855) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=280 base=d(item_3)(0.855) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=281 base=d(item_3)(0.855) new=d(item_6)(0.654)  human: deliver_item/move_to/step
  t=282 base=d(item_3)(0.856) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=283 base=d(item_3)(0.856) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=284 base=d(item_3)(0.856) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=285 base=d(item_3)(0.857) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=286 base=d(item_3)(0.857) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=287 base=d(item_3)(0.857) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=288 base=d(item_3)(0.857) new=d(item_6)(0.656)  human: deliver_item/move_to/step
  t=289 base=d(item_3)(0.857) new=d(item_6)(0.656)  human: deliver_item/move_to/step
  t=290 base=d(item_3)(0.857) new=d(item_6)(0.656)  human: deliver_item/move_to/step
  t=291 base=d(item_3)(0.858) new=d(item_6)(0.656)  human: deliver_item/move_to/step
  t=292 base=d(item_3)(0.858) new=d(item_6)(0.657)  human: deliver_item/move_to/step
  t=293 base=d(item_3)(0.858) new=d(item_6)(0.657)  human: deliver_item/move_to/step
  t=294 base=d(item_3)(0.858) new=d(item_6)(0.657)  human: deliver_item/move_to/step
  t=295 base=d(item_3)(0.857) new=d(item_6)(0.657)  human: deliver_item/move_to/step
  t=296 base=d(item_3)(0.857) new=d(item_6)(0.658)  human: deliver_item/move_to/step
  t=297 base=d(item_3)(0.857) new=d(item_6)(0.658)  human: deliver_item/move_to/step
  t=298 base=d(item_3)(0.857) new=d(item_6)(0.658)  human: deliver_item/move_to/step
  t=299 base=d(item_3)(0.857) new=d(item_6)(0.659)  human: deliver_item/move_to/step
  t=300 base=d(item_3)(0.856) new=d(item_6)(0.659)  human: deliver_item/move_to/step
  t=301 base=d(item_3)(0.856) new=d(item_6)(0.660)  human: deliver_item/move_to/step
  t=302 base=d(item_3)(0.855) new=d(item_6)(0.660)  human: deliver_item/move_to/step
  t=303 base=d(item_3)(0.855) new=d(item_6)(0.661)  human: deliver_item/move_to/step
  t=304 base=d(item_3)(0.854) new=d(item_6)(0.661)  human: deliver_item/move_to/step
  t=305 base=d(item_3)(0.853) new=d(item_6)(0.662)  human: deliver_item/move_to/step
  t=306 base=d(item_3)(0.853) new=d(item_6)(0.663)  human: deliver_item/move_to/step
  t=307 base=d(item_3)(0.852) new=d(item_6)(0.663)  human: deliver_item/move_to/step
