ticks: base 379 new 379  eps=0.0005
  t=284 base=coffee(0.959) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=285 base=coffee(0.959) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=286 base=coffee(0.959) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=287 base=coffee(0.949) new=d(item_6)(0.655)  human: deliver_item/move_to/step
  t=288 base=coffee(0.949) new=d(item_6)(0.656)  human: deliver_item/move_to/step
  t=289 base=coffee(0.949) new=d(item_6)(0.656)  human: deliver_item/move_to/step
  t=290 base=coffee(0.949) new=d(item_6)(0.656)  human: deliver_item/move_to/step
  t=291 base=coffee(0.949) new=d(item_6)(0.656)  human: deliver_item/move_to/step
  t=292 base=coffee(0.949) new=d(item_6)(0.657)  human: deliver_item/move_to/step
  t=293 base=coffee(0.949) new=d(item_6)(0.657)  human: deliver_item/move_to/step
  t=294 base=coffee(0.949) new=d(item_6)(0.657)  human: deliver_item/move_to/step
  t=295 base=coffee(0.949) new=d(item_6)(0.657)  human: deliver_item/move_to/step
  t=296 base=coffee(0.949) new=d(item_6)(0.658)  human: deliver_item/move_to/step
  t=297 base=coffee(0.949) new=d(item_6)(0.658)  human: deliver_item/move_to/step
  t=298 base=coffee(0.949) new=d(item_6)(0.658)  human: deliver_item/move_to/step
  t=299 base=coffee(0.949) new=d(item_6)(0.659)  human: deliver_item/move_to/step
  t=300 base=coffee(0.949) new=d(item_6)(0.659)  human: deliver_item/move_to/step
  t=301 base=coffee(0.949) new=d(item_6)(0.660)  human: deliver_item/move_to/step
  t=302 base=coffee(0.949) new=d(item_6)(0.660)  human: deliver_item/move_to/step
  t=303 base=coffee(0.949) new=d(item_6)(0.661)  human: deliver_item/move_to/step
  t=304 base=coffee(0.949) new=d(item_6)(0.661)  human: deliver_item/move_to/step
  t=305 base=coffee(0.949) new=d(item_6)(0.662)  human: deliver_item/move_to/step
  t=306 base=coffee(0.949) new=d(item_6)(0.663)  human: deliver_item/move_to/step
  t=307 base=coffee(0.949) new=d(item_6)(0.663)  human: deliver_item/move_to/step
  t=308 base=coffee(0.949) new=d(item_6)(0.664)  human: deliver_item/move_to/step
  t=309 base=coffee(0.949) new=d(item_6)(0.665)  human: deliver_item/move_to/step
  t=310 base=coffee(0.949) new=d(item_6)(0.666)  human: deliver_item/move_to/step
  t=311 base=coffee(0.949) new=d(item_6)(0.667)  human: deliver_item/move_to/step
  t=312 base=coffee(0.949) new=d(item_6)(0.669)  human: deliver_item/move_to/step
  t=313 base=coffee(0.949) new=d(item_6)(0.670)  human: deliver_item/move_to/step
  t=314 base=coffee(0.949) new=d(item_6)(0.672)  human: deliver_item/move_to/step
  t=315 base=coffee(0.949) new=d(item_6)(0.674)  human: deliver_item/move_to/step
  t=316 base=coffee(0.949) new=d(item_6)(0.677)  human: deliver_item/move_to/step
