ticks: base 379 new 379  eps=0.0005
      unknown      max Δ=-0.903 at t=332 (0.993 → 0.090)

== meta lines ==
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=97 feasible=True conflicts=0 min_dist=None
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=132 feasible=True conflicts=0 min_dist=None
  +[meta-proj] confidence=0.759 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=20 feasible=True conflicts=394 min_dist=326.59496710602696
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=94 feasible=True conflicts=601 min_dist=371.0363547218301
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=124 feasible=True conflicts=601 min_dist=371.0363547218301
  +[meta] step=125 trigger=theta_crossed winner=deliver_item{'?item': 'item_4', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}", "deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  +[meta-proj] confidence=0.904 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=97 feasible=True conflicts=159 min_dist=611.6249570888627
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=132 feasible=True conflicts=159 min_dist=611.6249570888627
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  -[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=48 feasible=True conflicts=0 min_dist=None
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=112 feasible=True conflicts=0 min_dist=None
  +[meta-proj] confidence=0.841 theta=0.750 projection=built
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=48 feasible=True conflicts=839 min_dist=114.0762192644963
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=112 feasible=True conflicts=841 min_dist=684.0528388314832
  +[meta-proj] confidence=0.803 theta=0.750 projection=none(unresolved)
  +[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=29 feasible=True conflicts=0 min_dist=None
  +[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=131 feasible=True conflicts=0 min_dist=None
  +[meta] step=214 trigger=theta_crossed winner=deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
  -[meta-proj] confidence=0.993 theta=0.750 projection=none(unresolved)
  +[meta-proj] confidence=0.904 theta=0.750 projection=built
