condition,layout,step,trigger,row_class,admitted,hypothesis,human_actual,hyp_matches_actual,human_finished,degenerate,confidence,T_h,robot_current_task,robot_holding,pool_size,current_in_pool,cost_winner_logged,cost_winner,candidate,cand,is_current_task,cost,T_r,n_segments,phases,logged_feasible,logged_min_dist,unassessed_before_ticks,unassessed_before_share
s20_off,env_layout2,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20595219235101708,54.3145460808265,,,3,False,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,54,53.5154392492244,4,approach_shelf|pick_up|carry_to_table|placement,,,0.0,0.0
s20_off,env_layout2,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20595219235101708,54.3145460808265,,,3,False,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,71,70.50304866714181,4,approach_shelf|pick_up|carry_to_table|placement,,,16.18850258631531,0.22961422083666597
s20_off,env_layout2,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20595219235101708,54.3145460808265,,,3,False,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,False,103,103.28646137744644,4,approach_shelf|pick_up|carry_to_table|placement,,,48.97191529661994,0.47413682919834654
s20_off,env_layout2,20,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.849552284278074,34.3145460808265,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",,3,True,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,True,34,33.5154392492244,4,approach_shelf|pick_up|carry_to_table|placement,False,0.0,0.0,0.0
s20_off,env_layout2,20,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.849552284278074,34.3145460808265,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",,3,True,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,False,56,56.132408510641135,4,approach_shelf|pick_up|carry_to_table|placement,True,195.51363531406562,21.81786242981463,0.38868566321501374
s20_off,env_layout2,20,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.849552284278074,34.3145460808265,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",,3,True,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,False,87,86.96366622951103,4,approach_shelf|pick_up|carry_to_table|placement,True,34.64122397505336,52.64912014868453,0.6054151398094818
s20_off,env_layout2,24,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.8559891707385731,29.74272195676042,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",,3,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_6,?kitting_table=kitting_table_0)",item_6,True,52,52.132408510641135,4,approach_shelf|pick_up|carry_to_table|placement,True,229.00574083100238,22.389686553880715,0.4294773096721704
s20_off,env_layout2,24,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.8559891707385731,29.74272195676042,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",,3,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,False,35,35.02267733320279,4,approach_shelf|pick_up|carry_to_table|placement,True,85.5991075288475,5.2799553764423734,0.15075818807937852
s20_off,env_layout2,24,theta_crossed,primary,True,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.8559891707385731,29.74272195676042,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",,3,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",item_7,False,89,88.63427887239169,4,approach_shelf|pick_up|carry_to_table|placement,True,177.33069928828513,58.89155691563127,0.6644331929457955
s20_off,env_layout2,29,task_committed,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.7102214682207048,24.742721956760427,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,3,True,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)","deliver_item(?item=item_4,?kitting_table=kitting_table_0)",item_4,True,31,30.75512482294979,2,carry_to_table|placement,,,6.012402866189362,0.1954927154677924
